# Coefficients for the MET corrections based on number of PV
# Format: 
# Run correction coefficientA coefficientB

# Data, 2017
2017B X -0.259456 1.95372
2017B Y 0.353928 -2.46685
2017C X -0.232763 1.08318
2017C Y 0.257719 -1.1745
2017D X -0.238067 1.80541
2017D Y 0.235989 -1.44354
2017E X -0.212352 1.851
2017E Y 0.157759 -0.478139
2017F X -0.232733 2.24134
2017F Y 0.213341 0.684588

# Data, 2018
2018A X -0.362865 -1.94505
2018A Y 0.0709085 -0.307365
2018B X 0.492083 -2.93552
2018B Y 0.17874 -0.786844
2018C X 0.521349 -1.44544
2018C Y 0.118956 -1.96434
2018D X 0.531151 -1.37568
2018D Y 0.0884639 -1.57089

# MC
2017MC X -0.217714 0.493361
2017MC Y 0.177058 -0.336648
2018MC X 0.296713 -0.141506
2018MC Y 0.115685 0.0128193
